Test time, Test, Node, Response Time, Error
03-03-2014 11:10, gskbio-akamai-sbhardwa - FF Agent,Paris  France - France Telecom,0.216,
03-03-2014 11:10, gskbio-origin-sbhardwa - FF Agent,Paris  France - France Telecom,0.324,
03-03-2014 11:11, gskbio-origin-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.795,
03-03-2014 11:11, gskbio-akamai-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.123,
03-03-2014 11:11, gskbio-origin-sbhardwa - FF Agent,Los Angeles  CA - Verizon,2.136,
03-03-2014 11:11, gskbio-akamai-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.291,
03-03-2014 11:11, gskbio-akamai-sbhardwa - FF Agent,Atlanta  GA - Verizon,0.838,
03-03-2014 11:11, gskbio-akamai-sbhardwa - FF Agent,San Jose  CA - Verizon,2.297,
03-03-2014 11:11, gskbio-akamai-sbhardwa - FF Agent,Singapore  Singapore - Singtel,1.988,
03-03-2014 11:11, gskbio-origin-sbhardwa - FF Agent,Singapore  Singapore - Singtel,4.116,
03-03-2014 11:11, gskbio-origin-sbhardwa - FF Agent,San Jose  CA - Verizon,3.536,
03-03-2014 11:11, gskbio-origin-sbhardwa - FF Agent,New York  NY - Sprint,1.085,
03-03-2014 11:11, gskbio-akamai-sbhardwa - FF Agent,New York  NY - Sprint,0.574,
03-03-2014 11:12, gskbio-akamai-sbhardwa - FF Agent,Dallas  TX - AT&T,1.138,
03-03-2014 11:12, gskbio-origin-sbhardwa - FF Agent,Dallas  TX - AT&T,1.838,
03-03-2014 11:12, gskbio-origin-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.96,
03-03-2014 11:12, gskbio-akamai-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.165,
03-03-2014 11:12, gskbio-akamai-sbhardwa - FF Agent,Melbourne  AU - Intervolve,2.235,
03-03-2014 11:12, gskbio-origin-sbhardwa - FF Agent,Melbourne  AU - Intervolve,5.763,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam,0.443,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam,1.113,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Orange,0.29,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.473,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Perth - Telstra,2.448,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Orange,0.832,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Boston  MA - Savvis,1.085,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Boston  MA - Savvis,0.857,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.93,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.822,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.918,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.121,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Paris  France - Limelight,0.467,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Paris  France - Limelight,0.205,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.136,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.263,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Rome  Italy - ITnet,0.687,
